Food Name,Calories,Protein (g),Carbs (g),Fat (g),Rasa,Virya,Vipaka,Dosha Impact,Suitable For,Benefits,Dish Name,Main Ingredients,Ayurvedic Properties,Diabetes Management Benefits,Calories (per serving),Glycemic Index Estimate,Meal Timing Suggestion,Portion Size Recommendation,Notes,Calories_per_100g,Category
2 idlis of 2 roti and capsicum sabji with salad,102,7.4,22.13,1.27,Madhura,Ushna,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of Vegetable Stew with Coconut Milk,"Legumes, Leafy Greens, Low-fat Dairy","High in protein and fiber, slows glucose absorption; Rich in fiber and antioxidants, helps regulate blood sugar levels; Provides protein without excess fat, supports metabolic health",Helps regulate blood sugar and provides balanced nutrition,332,44,Lunch,1 medium serving,Consume freshly prepared for best benefits,142.75,Lunch
Giloy infused 1 paratha of brown rice and palak dal,21,0.48,2.1,0.65,Katu,Ushna,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas; Giloy enhances immunity & digestion",2 chapati with bitter guard sabji,"Vegetables, Spices, Leafy Greens","Rich in fiber and low GI, promotes stable blood sugar; Stimulates digestion and helps in blood sugar regulation; Rich in fiber and antioxidants, helps regulate blood sugar levels; Supports Giloy benefits",Helps regulate blood sugar and provides balanced nutrition,211,35,Lunch,1 medium serving,Consume freshly prepared for best benefits,16.77,Breakfast
½ bowl of Boiled Rajma Chaat with Tomatoes,20,0.64,2.31,0.63,Katu,Ushna,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of Vegetable rice,"Spices, Legumes, Vegetables","Stimulates digestion and helps in blood sugar regulation; High in protein and fiber, slows glucose absorption; Rich in fiber and low GI, promotes stable blood sugar",Helps regulate blood sugar and provides balanced nutrition,117,45,Dinner,1 medium serving,Consume freshly prepared for best benefits,16.93,Beverage
Tulsi infused 2 idlis of Vegetable Soup,29,1.41,7.45,0.27,Tikta,Sheeta,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas; Tulsi enhances immunity & digestion",1 bowl of Vegetable pulav,"Vegetables, Leafy Greens, Low-fat Dairy","Rich in fiber and low GI, promotes stable blood sugar; Rich in fiber and antioxidants, helps regulate blood sugar levels; Provides protein without excess fat, supports metabolic health; Supports Tulsi benefits",Helps regulate blood sugar and provides balanced nutrition,239,51,Lunch,1 medium serving,Consume freshly prepared for best benefits,38.02,Lunch
1 paratha of 2 roti with  chana sabji,20,0.48,3.26,0.1,Amla,Sheeta,Madhura,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 chapati with methi sabji,"Whole Grains, Low-fat Dairy, Leafy Greens","Provide sustained energy release and support Kapha balance; Provides protein without excess fat, supports metabolic health; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,172,47,Dinner,1 medium serving,Consume freshly prepared for best benefits,20.37,Dinner
small plate of mixed seeds,42,2.19,6.66,0.48,Tikta,Sheeta,Katu,Balances Pitta,Weight Loss,"Rich in iron, detoxifies the body, and balances Pitta",1 bowl Oats Idli,"Legumes, Low-fat Dairy, Leafy Greens","High in protein and fiber, slows glucose absorption; Provides protein without excess fat, supports metabolic health; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,121,30,Breakfast,1 medium serving,Consume freshly prepared for best benefits,42.21,Snack
½ bowl of brown rice and palak dal,74,7.78,12.84,0.41,Kashaya,Ushna,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 chapati witrh Vegetable Korma,"Leafy Greens, Vegetables, Whole Grains","Rich in fiber and antioxidants, helps regulate blood sugar levels; Rich in fiber and low GI, promotes stable blood sugar; Provide sustained energy release and support Kapha balance",Helps regulate blood sugar and provides balanced nutrition,270,40,Lunch,1 medium serving,Consume freshly prepared for best benefits,112.24,Snack
½ bowl of brown rice and palak dal,72,5.62,10.59,0.61,Kashaya,Ushna,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 chapati witrh Vegetable Korma,"Leafy Greens, Vegetables, Whole Grains","Rich in fiber and antioxidants, helps regulate blood sugar levels; Rich in fiber and low GI, promotes stable blood sugar; Provide sustained energy release and support Kapha balance",Helps regulate blood sugar and provides balanced nutrition,275,40,Lunch,1 medium serving,Consume freshly prepared for best benefits,92.67,Lunch
2 idlis of semiya upma,112,6.94,21.25,2.18,Kashaya,Ushna,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of Vegetable Poha,"Vegetables, Spices, Whole Grains","Rich in fiber and low GI, promotes stable blood sugar; Stimulates digestion and helps in blood sugar regulation; Provide sustained energy release and support Kapha balance",Helps regulate blood sugar and provides balanced nutrition,253,46,Breakfast,1 medium serving,Consume freshly prepared for best benefits,145.07,Breakfast
Tulsi infused 1 paratha of rice and sambar,141,5.23,18.52,6.34,Kashaya,Ushna,Katu,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas; Tulsi enhances immunity & digestion",2 Multigrain chapati with Sambar,"Low-fat Dairy, Legumes, Vegetables","Provides protein without excess fat, supports metabolic health; High in protein and fiber, slows glucose absorption; Rich in fiber and low GI, promotes stable blood sugar; Supports Tulsi benefits",Helps regulate blood sugar and provides balanced nutrition,275,40,Dinner,1 medium serving,Consume freshly prepared for best benefits,137.93,Lunch
Tulsi infused 2 bowls of 2 roti and Chole sabji,53,3.18,3.57,3.34,Madhura,Sheeta,Madhura,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas; Tulsi enhances immunity & digestion",1 bowl of rice and Tur Dal sambar,"Low-fat Dairy, Whole Grains, Vegetables","Provides protein without excess fat, supports metabolic health; Provide sustained energy release and support Kapha balance; Rich in fiber and low GI, promotes stable blood sugar; Supports Tulsi benefits",Helps regulate blood sugar and provides balanced nutrition,185,45,Lunch,1 medium serving,Consume freshly prepared for best benefits,74.87,Snack
1 paratha of 2 Besan Chilla,116,6.24,16.03,3.05,Katu,Ushna,Katu,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 roti with Bitter Gourd Stir Fry ,"Spices, Low-fat Dairy, Leafy Greens","Stimulates digestion and helps in blood sugar regulation; Provides protein without excess fat, supports metabolic health; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,181,30,Breakfast,1 medium serving,Consume freshly prepared for best benefits,130.78,Snack
½ bowl of 1 Ragi Mudde with sambar,90,2.59,17.59,0.88,Madhura,Sheeta,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 Cabbage Paratha,"Legumes, Low-fat Dairy, Vegetables","High in protein and fiber, slows glucose absorption; Provides protein without excess fat, supports metabolic health; Rich in fiber and low GI, promotes stable blood sugar",Helps regulate blood sugar and provides balanced nutrition,306,48,Lunch,1 medium serving,Consume freshly prepared for best benefits,118.7,Breakfast
1 handful of 2 roti with masoor dal sabji,93,1.65,15.12,0.12,Madhura,Ushna,Madhura,Increases Kapha,Weight Loss (limited),"General health benefits, supports weight loss, and balances doshas",2 chapati and a bowl of Sprouted Moong Usal,"Leafy Greens, Whole Grains, Legumes","Rich in fiber and antioxidants, helps regulate blood sugar levels; Provide sustained energy release and support Kapha balance; High in protein and fiber, slows glucose absorption",Helps regulate blood sugar and provides balanced nutrition,304,37,Dinner,1 medium serving,Consume freshly prepared for best benefits,72.24,Breakfast
½ bowl of curd,119,4.24,24.22,0.8,Madhura,Ushna,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 jowar roti Baingan Bharta ,"Vegetables, Low-fat Dairy, Leafy Greens","Rich in fiber and low GI, promotes stable blood sugar; Provides protein without excess fat, supports metabolic health; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,176,45,Dinner,1 medium serving,Consume freshly prepared for best benefits,114.37,Snack
1 cup of 2 chapati with cabbage sabji and saald,22,0.85,3.26,0.1,Tikta,Ushna,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 roti and potato sabji,"Whole Grains, Leafy Greens, Legumes","Provide sustained energy release and support Kapha balance; Rich in fiber and antioxidants, helps regulate blood sugar levels; High in protein and fiber, slows glucose absorption",Helps regulate blood sugar and provides balanced nutrition,225,44,Lunch,1 medium serving,Consume freshly prepared for best benefits,19.55,Dinner
2 idlis of 1 bowl od rice with Raw Papaya Curry,49,0.87,7.83,0.17,Tikta,Ushna,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of Peas Pulao with Curd,"Leafy Greens, Legumes, Low-fat Dairy","Rich in fiber and antioxidants, helps regulate blood sugar levels; High in protein and fiber, slows glucose absorption; Provides protein without excess fat, supports metabolic health",Helps regulate blood sugar and provides balanced nutrition,210,50,Lunch,1 medium serving,Consume freshly prepared for best benefits,35.69,Snack
1 handful of 2 plain paratha with curd,85,2.05,25.6,0.1,Madhura,Sheeta,Madhura,Increases Kapha,Weight Loss (limited),"General health benefits, supports weight loss, and balances doshas",2 chapati with Cluster Beans Sabzi ,"Whole Grains, Legumes, Leafy Greens","Provide sustained energy release and support Kapha balance; High in protein and fiber, slows glucose absorption; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,351,33,Lunch,1 medium serving,Consume freshly prepared for best benefits,93.75,Breakfast
1 paratha of brown rice and sambar,94,2.61,14.54,0.64,Madhura,Sheeta,Madhura,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of Vegetable rice,"Spices, Legumes, Whole Grains","Stimulates digestion and helps in blood sugar regulation; High in protein and fiber, slows glucose absorption; Provide sustained energy release and support Kapha balance",Helps regulate blood sugar and provides balanced nutrition,298,47,Lunch,1 medium serving,Consume freshly prepared for best benefits,111.79,Dinner
1 cup of vegetable sald,118,2.9,15.83,2.21,Madhura,Ushna,Madhura,Balances Vata,Weight Loss,"Easy to digest, nourishes the body, and balances Vata",2 roti with bindi sabji,"Spices, Leafy Greens, Vegetables","Stimulates digestion and helps in blood sugar regulation; Rich in fiber and antioxidants, helps regulate blood sugar levels; Rich in fiber and low GI, promotes stable blood sugar",Helps regulate blood sugar and provides balanced nutrition,175,36,Lunch,1 medium serving,Consume freshly prepared for best benefits,98.25,Lunch
1 paratha of 2 roti with soya bhurji,20,1.0,4.4,0.25,Kashaya,Sheeta,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 Radish Paratha,"Spices, Legumes, Low-fat Dairy","Stimulates digestion and helps in blood sugar regulation; High in protein and fiber, slows glucose absorption; Provides protein without excess fat, supports metabolic health",Helps regulate blood sugar and provides balanced nutrition,123,45,Lunch,1 medium serving,Consume freshly prepared for best benefits,21.95,Breakfast
1 cup of rice and moong dal,23,0.57,3.38,0.1,Madhura,Sheeta,Madhura,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas",3 Vegetable Stuffed Idli,"Legumes, Leafy Greens, Vegetables","High in protein and fiber, slows glucose absorption; Rich in fiber and antioxidants, helps regulate blood sugar levels; Rich in fiber and low GI, promotes stable blood sugar",Helps regulate blood sugar and provides balanced nutrition,177,53,Dinner,1 medium serving,Consume freshly prepared for best benefits,19.25,Dinner
½ bowl of 3  Vegetable Steamed Momos,98,4.22,18.78,2.57,Katu,Ushna,Katu,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl Vegetable Quinoa Upma,"Legumes, Leafy Greens, Vegetables","High in protein and fiber, slows glucose absorption; Rich in fiber and antioxidants, helps regulate blood sugar levels; Rich in fiber and low GI, promotes stable blood sugar",Helps regulate blood sugar and provides balanced nutrition,219,44,Lunch,1 medium serving,Consume freshly prepared for best benefits,89.61,Snack
Tulsi infused 1 cup of poha,20,0.44,4.32,0.1,Madhura,Sheeta,Madhura,Balances Pitta,Weight Loss,"Cools the body, supports weight loss, and improves digestion; Tulsi enhances immunity & digestion",2 besan chilla with ghee,"Legumes, Whole Grains, Spices","High in protein and fiber, slows glucose absorption; Provide sustained energy release and support Kapha balance; Stimulates digestion and helps in blood sugar regulation; Supports Tulsi benefits",Helps regulate blood sugar and provides balanced nutrition,252,30,Breakfast,1 medium serving,Consume freshly prepared for best benefits,19.34,Dinner
2 idlis of 3 rava idli with coconut chutney,39,0.95,7.74,0.38,Kashaya,Sheeta,Katu,Balances Pitta,Weight Loss,"Low in calories, good for hydration, and balances Pitta",2 Moong Dal Chilla,"Spices, Legumes, Leafy Greens","Stimulates digestion and helps in blood sugar regulation; High in protein and fiber, slows glucose absorption; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,114,39,Breakfast,1 medium serving,Consume freshly prepared for best benefits,34.23,Breakfast
Ashwagandha infused 1 paratha of 1 Ragi Mudde with sambar,127,2.18,24.91,0.85,Madhura,Sheeta,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas; Ashwagandha enhances immunity & digestion",2 Cabbage Paratha,"Legumes, Low-fat Dairy, Vegetables","High in protein and fiber, slows glucose absorption; Provides protein without excess fat, supports metabolic health; Rich in fiber and low GI, promotes stable blood sugar; Supports Ashwagandha benefits",Helps regulate blood sugar and provides balanced nutrition,281,48,Lunch,1 medium serving,Consume freshly prepared for best benefits,104.29,Dinner
2 idlis of 2 Multigrain Roti with Mixed Vegetable Curry,45,2.21,10.3,0.32,Tikta,Sheeta,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 roti and green leaf curry,"Spices, Low-fat Dairy, Legumes","Stimulates digestion and helps in blood sugar regulation; Provides protein without excess fat, supports metabolic health; High in protein and fiber, slows glucose absorption",Helps regulate blood sugar and provides balanced nutrition,121,55,Dinner,1 medium serving,Consume freshly prepared for best benefits,50.66,Snack
1 paratha of rice with dal,56,1.24,11.42,1.64,Katu,Ushna,Katu,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of brown rice and veg sambar,"Whole Grains, Leafy Greens, Vegetables","Provide sustained energy release and support Kapha balance; Rich in fiber and antioxidants, helps regulate blood sugar levels; Rich in fiber and low GI, promotes stable blood sugar",Helps regulate blood sugar and provides balanced nutrition,160,32,Lunch,1 medium serving,Consume freshly prepared for best benefits,73.14,Lunch
1 handful of rice and moong dal,20,0.71,2.9,0.11,Madhura,Sheeta,Madhura,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas",3 Vegetable Stuffed Idli,"Legumes, Leafy Greens, Vegetables","High in protein and fiber, slows glucose absorption; Rich in fiber and antioxidants, helps regulate blood sugar levels; Rich in fiber and low GI, promotes stable blood sugar",Helps regulate blood sugar and provides balanced nutrition,186,53,Dinner,1 medium serving,Consume freshly prepared for best benefits,20.2,Dinner
2 idlis of rice and sambar,21,0.99,4.68,0.23,Madhura,Sheeta,Madhura,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 chapati with Mixed Vegetable Curry,"Vegetables, Leafy Greens, Legumes","Rich in fiber and low GI, promotes stable blood sugar; Rich in fiber and antioxidants, helps regulate blood sugar levels; High in protein and fiber, slows glucose absorption",Helps regulate blood sugar and provides balanced nutrition,290,37,Lunch,1 medium serving,Consume freshly prepared for best benefits,19.66,Lunch
1 cup of 2 mooli paratha,105,7.53,18.19,0.99,Kashaya,Ushna,Katu,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of vegetable upma,"Vegetables, Whole Grains, Legumes","Rich in fiber and low GI, promotes stable blood sugar; Provide sustained energy release and support Kapha balance; High in protein and fiber, slows glucose absorption",Helps regulate blood sugar and provides balanced nutrition,309,32,Breakfast,1 medium serving,Consume freshly prepared for best benefits,102.33,Lunch
Ashwagandha infused 2 idlis of semiya upma,132,7.09,15.12,3.89,Kashaya,Ushna,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas; Ashwagandha enhances immunity & digestion",1 bowl of Vegetable Poha,"Vegetables, Spices, Whole Grains","Rich in fiber and low GI, promotes stable blood sugar; Stimulates digestion and helps in blood sugar regulation; Provide sustained energy release and support Kapha balance; Supports Ashwagandha benefits",Helps regulate blood sugar and provides balanced nutrition,234,46,Breakfast,1 medium serving,Consume freshly prepared for best benefits,139.48,Lunch
Tulsi infused ½ bowl of Oats Upma,157,5.79,19.92,4.54,Madhura,Ushna,Madhura,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas; Tulsi enhances immunity & digestion",1 bowl of Vegetable Oats Kichadi,"Vegetables, Legumes, Low-fat Dairy","Rich in fiber and low GI, promotes stable blood sugar; High in protein and fiber, slows glucose absorption; Provides protein without excess fat, supports metabolic health; Supports Tulsi benefits",Helps regulate blood sugar and provides balanced nutrition,231,30,Breakfast,1 medium serving,Consume freshly prepared for best benefits,141.71,Lunch
1 paratha of Boiled Rajma Chaat with Tomatoes,20,0.79,2.99,0.45,Katu,Ushna,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of Vegetable rice,"Spices, Legumes, Vegetables","Stimulates digestion and helps in blood sugar regulation; High in protein and fiber, slows glucose absorption; Rich in fiber and low GI, promotes stable blood sugar",Helps regulate blood sugar and provides balanced nutrition,153,45,Dinner,1 medium serving,Consume freshly prepared for best benefits,14.73,Breakfast
small plate of brown rice and Vegetable Stew,47,0.22,11.59,0.13,Madhura,Sheeta,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 chapati with Fenugreek Leaves Curry ,"Legumes, Whole Grains, Low-fat Dairy","High in protein and fiber, slows glucose absorption; Provide sustained energy release and support Kapha balance; Provides protein without excess fat, supports metabolic health",Helps regulate blood sugar and provides balanced nutrition,248,44,Dinner,1 medium serving,Consume freshly prepared for best benefits,43.57,Snack
Amla infused 2 bowls of 2 chapati and Ridge Gourd Curry,32,1.13,6.94,0.23,Tikta,Sheeta,Katu,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas; Amla enhances immunity & digestion",1 bowl of rice Beetroot Poriyal,"Whole Grains, Legumes, Vegetables","Provide sustained energy release and support Kapha balance; High in protein and fiber, slows glucose absorption; Rich in fiber and low GI, promotes stable blood sugar; Supports Amla benefits",Helps regulate blood sugar and provides balanced nutrition,180,55,Dinner,1 medium serving,Consume freshly prepared for best benefits,30.69,Beverage
small plate of 2 chapati with cabbage sabji and saald,26,1.07,5.47,0.1,Tikta,Ushna,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 roti and potato sabji,"Whole Grains, Leafy Greens, Legumes","Provide sustained energy release and support Kapha balance; Rich in fiber and antioxidants, helps regulate blood sugar levels; High in protein and fiber, slows glucose absorption",Helps regulate blood sugar and provides balanced nutrition,261,44,Lunch,1 medium serving,Consume freshly prepared for best benefits,21.83,Breakfast
1 handful of rava upma,101,6.53,19.51,0.54,Madhura,Ushna,Madhura,Balances Vata,Weight Loss,"Rich in protein, aids digestion, and balances Vata",2 Methi Thepla with ghee,"Low-fat Dairy, Leafy Greens, Whole Grains","Provides protein without excess fat, supports metabolic health; Rich in fiber and antioxidants, helps regulate blood sugar levels; Provide sustained energy release and support Kapha balance",Helps regulate blood sugar and provides balanced nutrition,186,48,Breakfast,1 medium serving,Consume freshly prepared for best benefits,115.29,Lunch
½ bowl of 2 roti with  chana sabji,22,0.46,5.36,0.12,Amla,Sheeta,Madhura,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 chapati with methi sabji,"Whole Grains, Low-fat Dairy, Leafy Greens","Provide sustained energy release and support Kapha balance; Provides protein without excess fat, supports metabolic health; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,172,47,Dinner,1 medium serving,Consume freshly prepared for best benefits,15.03,Snack
1 handful of rava upma,120,4.93,13.9,0.61,Madhura,Ushna,Madhura,Balances Vata,Weight Loss,"Rich in protein, aids digestion, and balances Vata",2 Methi Thepla with ghee,"Low-fat Dairy, Leafy Greens, Whole Grains","Provides protein without excess fat, supports metabolic health; Rich in fiber and antioxidants, helps regulate blood sugar levels; Provide sustained energy release and support Kapha balance",Helps regulate blood sugar and provides balanced nutrition,217,48,Breakfast,1 medium serving,Consume freshly prepared for best benefits,115.2,Dinner
Amla infused 1 paratha of 2 chapati with cabbage sabji and saald,22,0.96,5.06,0.11,Tikta,Ushna,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas; Amla enhances immunity & digestion",2 roti and potato sabji,"Whole Grains, Leafy Greens, Legumes","Provide sustained energy release and support Kapha balance; Rich in fiber and antioxidants, helps regulate blood sugar levels; High in protein and fiber, slows glucose absorption; Supports Amla benefits",Helps regulate blood sugar and provides balanced nutrition,192,44,Lunch,1 medium serving,Consume freshly prepared for best benefits,25.41,Snack
1 paratha of rice and sambar,43,1.26,12.55,0.14,Madhura,Sheeta,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 roti sabji and Sprouted Moong Salad,"Leafy Greens, Vegetables, Whole Grains","Rich in fiber and antioxidants, helps regulate blood sugar levels; Rich in fiber and low GI, promotes stable blood sugar; Provide sustained energy release and support Kapha balance",Helps regulate blood sugar and provides balanced nutrition,241,52,Lunch,1 medium serving,Consume freshly prepared for best benefits,47.08,Lunch
½ bowl of rice and rajma curry,88,2.22,13.89,3.38,Madhura,Ushna,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of pulav and Vegetable Raita,"Spices, Leafy Greens, Vegetables","Stimulates digestion and helps in blood sugar regulation; Rich in fiber and antioxidants, helps regulate blood sugar levels; Rich in fiber and low GI, promotes stable blood sugar",Helps regulate blood sugar and provides balanced nutrition,258,34,Lunch,1 medium serving,Consume freshly prepared for best benefits,80.99,Lunch
2 bowls of 2 jowar roti with moong dal sabji and salad,82,3.71,13.06,1.26,Madhura,Ushna,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of Cauliflower Rice Pulao,"Leafy Greens, Whole Grains, Vegetables","Rich in fiber and antioxidants, helps regulate blood sugar levels; Provide sustained energy release and support Kapha balance; Rich in fiber and low GI, promotes stable blood sugar",Helps regulate blood sugar and provides balanced nutrition,171,46,Dinner,1 medium serving,Consume freshly prepared for best benefits,114.37,Dinner
2 bowls of 2 chapati with cabbage sabji and saald,23,0.64,3.57,0.1,Tikta,Ushna,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 roti and potato sabji,"Whole Grains, Leafy Greens, Legumes","Provide sustained energy release and support Kapha balance; Rich in fiber and antioxidants, helps regulate blood sugar levels; High in protein and fiber, slows glucose absorption",Helps regulate blood sugar and provides balanced nutrition,214,44,Lunch,1 medium serving,Consume freshly prepared for best benefits,26.46,Breakfast
2 idlis of rice with dal,66,1.56,9.08,1.81,Katu,Ushna,Katu,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of brown rice and veg sambar,"Whole Grains, Leafy Greens, Vegetables","Provide sustained energy release and support Kapha balance; Rich in fiber and antioxidants, helps regulate blood sugar levels; Rich in fiber and low GI, promotes stable blood sugar",Helps regulate blood sugar and provides balanced nutrition,140,32,Lunch,1 medium serving,Consume freshly prepared for best benefits,66.7,Breakfast
2 idlis of semiya upma,146,8.54,17.15,2.9,Kashaya,Ushna,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of Vegetable Poha,"Vegetables, Spices, Whole Grains","Rich in fiber and low GI, promotes stable blood sugar; Stimulates digestion and helps in blood sugar regulation; Provide sustained energy release and support Kapha balance",Helps regulate blood sugar and provides balanced nutrition,314,46,Breakfast,1 medium serving,Consume freshly prepared for best benefits,115.09,Breakfast
½ bowl of sabudana kichadi,77,7.33,15.53,0.49,Kashaya,Ushna,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of vegetable salad,"Spices, Legumes, Leafy Greens","Stimulates digestion and helps in blood sugar regulation; High in protein and fiber, slows glucose absorption; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,150,46,Breakfast,1 medium serving,Consume freshly prepared for best benefits,79.31,Dinner
small plate of 2 roti with bindi sabji,20,0.64,3.79,0.12,Madhura,Sheeta,Madhura,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 roti with Tofu Bhurji,"Low-fat Dairy, Spices, Whole Grains","Provides protein without excess fat, supports metabolic health; Stimulates digestion and helps in blood sugar regulation; Provide sustained energy release and support Kapha balance",Helps regulate blood sugar and provides balanced nutrition,312,36,Dinner,1 medium serving,Consume freshly prepared for best benefits,12.96,Lunch
Giloy infused 1 paratha of 2 dosa with coconut chutney,84,7.45,21.78,1.47,Kashaya,Ushna,Katu,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas; Giloy enhances immunity & digestion",2 masala dosa ,"Spices, Whole Grains, Low-fat Dairy","Stimulates digestion and helps in blood sugar regulation; Provide sustained energy release and support Kapha balance; Provides protein without excess fat, supports metabolic health; Supports Giloy benefits",Helps regulate blood sugar and provides balanced nutrition,154,32,Breakfast,1 medium serving,Consume freshly prepared for best benefits,107.23,Breakfast
Brahmi infused 2 idlis of 2 Steamed Dhokla,120,3.48,16.66,3.83,Tikta,Ushna,Katu,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas; Brahmi enhances immunity & digestion",2 dosa with coconut chutney,"Spices, Low-fat Dairy, Leafy Greens","Stimulates digestion and helps in blood sugar regulation; Provides protein without excess fat, supports metabolic health; Rich in fiber and antioxidants, helps regulate blood sugar levels; Supports Brahmi benefits",Helps regulate blood sugar and provides balanced nutrition,232,30,Breakfast,1 medium serving,Consume freshly prepared for best benefits,166.47,Breakfast
½ bowl of brown rice with matki sambar,137,4.14,21.62,5.42,Kashaya,Ushna,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 chapati and Paneer Bhurji (Low-fat),"Whole Grains, Leafy Greens, Legumes","Provide sustained energy release and support Kapha balance; Rich in fiber and antioxidants, helps regulate blood sugar levels; High in protein and fiber, slows glucose absorption",Helps regulate blood sugar and provides balanced nutrition,395,37,Lunch,1 medium serving,Consume freshly prepared for best benefits,170.23,Breakfast
2 idlis of 2 chapati with Paneer Bhurji (Low Fat),98,7.5,3.72,8.97,Madhura,Ushna,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of rice Spinach and Moong Dal Curry,"Vegetables, Spices, Whole Grains","Rich in fiber and low GI, promotes stable blood sugar; Stimulates digestion and helps in blood sugar regulation; Provide sustained energy release and support Kapha balance",Helps regulate blood sugar and provides balanced nutrition,125,53,Dinner,1 medium serving,Consume freshly prepared for best benefits,102.4,Snack
Amla infused small plate of 2 roti and mixed veg curry and Cucumber Salad,20,0.62,2.35,0.1,Madhura,Sheeta,Madhura,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas; Amla enhances immunity & digestion",1 big bowl of Quinoa Vegetable Salad,"Legumes, Low-fat Dairy, Leafy Greens","High in protein and fiber, slows glucose absorption; Provides protein without excess fat, supports metabolic health; Rich in fiber and antioxidants, helps regulate blood sugar levels; Supports Amla benefits",Helps regulate blood sugar and provides balanced nutrition,355,42,Dinner,1 medium serving,Consume freshly prepared for best benefits,11.8,Breakfast
